month,mage,child_gender,mrace,birth_count
2016-05,35  -  39,F,OTHERS,56
2016-05,35  -  39,M,OTHERS,78
2016-05,40  -  44,F,CHINESE,45
2016-05,40  -  44,M,CHINESE,45
2016-05,40  -  44,F,INDIANS,7
2016-05,40  -  44,M,INDIANS,2
2016-05,40  -  44,F,MALAYS,2
2016-05,40  -  44,M,MALAYS,9
2016-05,40  -  44,F,OTHERS,9
2016-05,40  -  44,M,OTHERS,13
2016-05,45  -  49,F,CHINESE,2
2016-05,45  -  49,M,MALAYS,1
2016-05,45  -  49,F,OTHERS,1
2016-06,15  -  19,F,CHINESE,8
2016-06,15  -  19,M,CHINESE,3
2016-06,15  -  19,F,INDIANS,1
2016-06,15  -  19,F,MALAYS,10
2016-06,15  -  19,M,MALAYS,9
2016-06,15  -  19,F,OTHERS,1
2016-06,20  -  24,F,CHINESE,40
2016-06,20  -  24,M,CHINESE,37
2016-06,20  -  24,F,INDIANS,7
2016-06,20  -  24,M,INDIANS,8
2016-06,20  -  24,F,MALAYS,42
2016-06,20  -  24,M,MALAYS,32
2016-06,20  -  24,F,OTHERS,8
2016-06,20  -  24,M,OTHERS,12
2016-06,25  -  29,F,CHINESE,202
2016-06,25  -  29,M,CHINESE,254
2016-06,25  -  29,F,INDIANS,28
2016-06,25  -  29,M,INDIANS,46
2016-06,25  -  29,F,MALAYS,133
2016-06,25  -  29,M,MALAYS,136
2016-06,25  -  29,F,OTHERS,43
2016-06,25  -  29,M,OTHERS,43
2016-06,30  -  34,F,CHINESE,442
2016-06,30  -  34,M,CHINESE,467
2016-06,30  -  34,F,INDIANS,74
2016-06,30  -  34,M,INDIANS,75
2016-06,30  -  34,F,MALAYS,99
2016-06,30  -  34,M,MALAYS,99
2016-06,30  -  34,F,OTHERS,92
2016-06,30  -  34,M,OTHERS,97
2016-06,35  -  39,F,CHINESE,243
2016-06,35  -  39,M,CHINESE,256
2016-06,35  -  39,F,INDIANS,38
2016-06,35  -  39,M,INDIANS,28
2016-06,35  -  39,F,MALAYS,45
2016-06,35  -  39,M,MALAYS,50
2016-06,35  -  39,F,OTHERS,77
2016-06,35  -  39,M,OTHERS,59
2016-06,40  -  44,F,CHINESE,38
2016-06,40  -  44,M,CHINESE,50
2016-06,40  -  44,F,INDIANS,4
2016-06,40  -  44,M,INDIANS,4
2016-06,40  -  44,F,MALAYS,5
2016-06,40  -  44,M,MALAYS,6
2016-06,40  -  44,F,OTHERS,10
2016-06,40  -  44,M,OTHERS,20
2016-06,45  -  49,M,CHINESE,4
2016-06,45  -  49,M,INDIANS,2
2016-06,45  -  49,F,MALAYS,1
2016-06,45  -  49,M,MALAYS,2
2016-06,45  -  49,F,OTHERS,2
2016-06,45  -  49,M,OTHERS,1
2016-06,50  -  54,M,CHINESE,1
2016-06,Under 15,F,CHINESE,1
2016-06,Under 15,F,MALAYS,1
2016-07,15  -  19,F,CHINESE,8
2016-07,15  -  19,M,CHINESE,1
2016-07,15  -  19,F,INDIANS,3
2016-07,15  -  19,M,INDIANS,1
2016-07,15  -  19,F,MALAYS,3
2016-07,15  -  19,M,MALAYS,4
2016-07,15  -  19,M,OTHERS,2
2016-07,20  -  24,F,CHINESE,32
2016-07,20  -  24,M,CHINESE,33
2016-07,20  -  24,F,INDIANS,8
2016-07,20  -  24,M,INDIANS,11
2016-07,20  -  24,F,MALAYS,37
2016-07,20  -  24,M,MALAYS,54
2016-07,20  -  24,F,OTHERS,11
2016-07,20  -  24,M,OTHERS,16
2016-07,25  -  29,F,CHINESE,220
2016-07,25  -  29,M,CHINESE,265
2016-07,25  -  29,F,INDIANS,33
2016-07,25  -  29,M,INDIANS,51
2016-07,25  -  29,F,MALAYS,105
2016-07,25  -  29,M,MALAYS,133
2016-07,25  -  29,F,OTHERS,48
2016-07,25  -  29,M,OTHERS,52
2016-07,30  -  34,F,CHINESE,429
2016-07,30  -  34,M,CHINESE,474
2016-07,30  -  34,F,INDIANS,70
2016-07,30  -  34,M,INDIANS,76
2016-07,30  -  34,F,MALAYS,83
2016-07,30  -  34,M,MALAYS,116
2016-07,30  -  34,F,OTHERS,83
2016-07,30  -  34,M,OTHERS,78
2016-07,35  -  39,F,CHINESE,256
2016-07,35  -  39,M,CHINESE,254
2016-07,35  -  39,F,INDIANS,28
2016-07,35  -  39,M,INDIANS,31
2016-07,35  -  39,F,MALAYS,37
2016-07,35  -  39,M,MALAYS,58
2016-07,35  -  39,F,OTHERS,56
2016-07,35  -  39,M,OTHERS,51
2016-07,40  -  44,F,CHINESE,43
2016-07,40  -  44,M,CHINESE,48
2016-07,40  -  44,F,INDIANS,3
2016-07,40  -  44,M,INDIANS,7
2016-07,40  -  44,F,MALAYS,7
2016-07,40  -  44,M,MALAYS,4
2016-07,40  -  44,F,OTHERS,10
2016-07,40  -  44,M,OTHERS,12
2016-07,45  -  49,F,CHINESE,2
2016-07,45  -  49,M,CHINESE,1
2016-07,45  -  49,F,OTHERS,1
2016-08,15  -  19,F,CHINESE,6
2016-08,15  -  19,M,CHINESE,4
2016-08,15  -  19,M,INDIANS,1
2016-08,15  -  19,F,MALAYS,4
2016-08,15  -  19,M,MALAYS,8
2016-08,15  -  19,F,OTHERS,3
2016-08,20  -  24,F,CHINESE,31
2016-08,20  -  24,M,CHINESE,35
2016-08,20  -  24,F,INDIANS,18
2016-08,20  -  24,M,INDIANS,10
2016-08,20  -  24,F,MALAYS,37
2016-08,20  -  24,M,MALAYS,52
2016-08,20  -  24,F,OTHERS,9
2016-08,20  -  24,M,OTHERS,11
2016-08,25  -  29,F,CHINESE,230
2016-08,25  -  29,M,CHINESE,239
2016-08,25  -  29,F,INDIANS,53
2016-08,25  -  29,M,INDIANS,50
2016-08,25  -  29,F,MALAYS,120
2016-08,25  -  29,M,MALAYS,131
2016-08,25  -  29,F,OTHERS,46
2016-08,25  -  29,M,OTHERS,46
2016-08,30  -  34,F,CHINESE,391
2016-08,30  -  34,M,CHINESE,482
2016-08,30  -  34,F,INDIANS,68
2016-08,30  -  34,M,INDIANS,74
2016-08,30  -  34,F,MALAYS,115
2016-08,30  -  34,M,MALAYS,113
2016-08,30  -  34,F,OTHERS,74
2016-08,30  -  34,M,OTHERS,102
2016-08,35  -  39,F,CHINESE,263
2016-08,35  -  39,M,CHINESE,242
2016-08,35  -  39,F,INDIANS,40
2016-08,35  -  39,M,INDIANS,38
2016-08,35  -  39,F,MALAYS,42
2016-08,35  -  39,M,MALAYS,40
2016-08,35  -  39,F,OTHERS,65
2016-08,35  -  39,M,OTHERS,55
2016-08,40  -  44,F,CHINESE,40
2016-08,40  -  44,M,CHINESE,46
2016-08,40  -  44,F,INDIANS,4
2016-08,40  -  44,M,INDIANS,3
2016-08,40  -  44,F,MALAYS,11
2016-08,40  -  44,M,MALAYS,7
2016-08,40  -  44,F,OTHERS,14
2016-08,40  -  44,M,OTHERS,9
2016-08,45  -  49,M,CHINESE,2
2016-08,45  -  49,F,INDIANS,1
2016-08,45  -  49,M,INDIANS,1
2016-08,50  -  54,M,OTHERS,1
2016-08,55  -  59,M,CHINESE,2
2016-09,15  -  19,F,CHINESE,5
2016-09,15  -  19,M,CHINESE,3
2016-09,15  -  19,F,INDIANS,1
2016-09,15  -  19,M,INDIANS,2
2016-09,15  -  19,F,MALAYS,9
2016-09,15  -  19,M,MALAYS,10
2016-09,15  -  19,F,OTHERS,1
2016-09,20  -  24,F,CHINESE,33
2016-09,20  -  24,M,CHINESE,33
2016-09,20  -  24,F,INDIANS,9
2016-09,20  -  24,M,INDIANS,13
2016-09,20  -  24,F,MALAYS,37
2016-09,20  -  24,M,MALAYS,38
2016-09,20  -  24,F,OTHERS,12
2016-09,20  -  24,M,OTHERS,14
2016-09,25  -  29,F,CHINESE,267
2016-09,25  -  29,M,CHINESE,255
2016-09,25  -  29,F,INDIANS,44
2016-09,25  -  29,M,INDIANS,43
2016-09,25  -  29,F,MALAYS,119
2016-09,25  -  29,M,MALAYS,141
2016-09,25  -  29,F,OTHERS,51
2016-09,25  -  29,M,OTHERS,47
2016-09,30  -  34,F,CHINESE,509
2016-09,30  -  34,M,CHINESE,518
2016-09,30  -  34,F,INDIANS,57
2016-09,30  -  34,M,INDIANS,79
2016-09,30  -  34,F,MALAYS,100
2016-09,30  -  34,M,MALAYS,103
2016-09,30  -  34,F,OTHERS,88
2016-09,30  -  34,M,OTHERS,94
2016-09,35  -  39,F,CHINESE,260
2016-09,35  -  39,M,CHINESE,247
2016-09,35  -  39,F,INDIANS,38
2016-09,35  -  39,M,INDIANS,31
2016-09,35  -  39,F,MALAYS,48
2016-09,35  -  39,M,MALAYS,44
2016-09,35  -  39,F,OTHERS,58
2016-09,35  -  39,M,OTHERS,59
2016-09,40  -  44,F,CHINESE,49
2016-09,40  -  44,M,CHINESE,64
2016-09,40  -  44,F,INDIANS,8
2016-09,40  -  44,M,INDIANS,5
2016-09,40  -  44,F,MALAYS,7
2016-09,40  -  44,M,MALAYS,8
2016-09,40  -  44,F,OTHERS,9
2016-09,40  -  44,M,OTHERS,8
2016-09,45  -  49,M,CHINESE,4
2016-09,45  -  49,F,OTHERS,1
2016-09,Under 15,M,MALAYS,1
2016-10,15  -  19,F,CHINESE,5
2016-10,15  -  19,M,CHINESE,3
2016-10,15  -  19,F,INDIANS,1
2016-10,15  -  19,M,INDIANS,4
2016-10,15  -  19,F,MALAYS,8
2016-10,15  -  19,M,MALAYS,5
2016-10,15  -  19,F,OTHERS,3
2016-10,15  -  19,M,OTHERS,1
2016-10,20  -  24,F,CHINESE,44
2016-10,20  -  24,M,CHINESE,31
2016-10,20  -  24,F,INDIANS,11
2016-10,20  -  24,M,INDIANS,14
2016-10,20  -  24,F,MALAYS,35
2016-10,20  -  24,M,MALAYS,43
2016-10,20  -  24,F,OTHERS,13
2016-10,20  -  24,M,OTHERS,17
2016-10,25  -  29,F,CHINESE,213
2016-10,25  -  29,M,CHINESE,277
2016-10,25  -  29,F,INDIANS,47
2016-10,25  -  29,M,INDIANS,51
2016-10,25  -  29,F,MALAYS,126
2016-10,25  -  29,M,MALAYS,135
2016-10,25  -  29,F,OTHERS,48
2016-10,25  -  29,M,OTHERS,47
2016-10,30  -  34,F,CHINESE,431
2016-10,30  -  34,M,CHINESE,470
2016-10,30  -  34,F,INDIANS,66
